model,vars,S,rel(S),Act,choices,*-opt,random,,max_depth,depth,best,best relative,time (best),time (all),tree depth,tree nodes,|M|,F,Fs=,F?,H?,H+
qcomp-consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,3,3,0.0939,0.4557,321.58,1202.52,2,3,1.00E+36,1040,62,978,334,0
qcomp-consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,4,4,0.0939,0.4557,271.1,1200.13,2,3,1.00E+77,1039,101,938,278,0
qcomp-consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,5,5,0.0939,0.4557,240.39,1200.9,2,3,1.00E+158,656,130,526,161,0
qcomp-consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,6,6,0.0939,0.4653,367.08,1201.63,4,7,1e321,579,62,517,178,0
qcomp-consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,7,5,0.0943,0.9336,402.49,457.58,4,10,1.00E+158,153,61,92,11,1
qcomp-consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,8,5,0.0943,0.9336,359.11,403.41,4,10,1.00E+158,130,53,77,11,1
qcomp-csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,1,1,0.3901,0.7298,6.27,40.48,1,1,1.00E+12,413,39,374,107,1
qcomp-csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,2,2,0.3919,1,72.75,79.98,2,3,1.00E+35,147,25,122,30,1
qcomp-csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,3,2,0.3919,1,73.24,80.49,2,3,1.00E+35,147,25,122,30,1
qcomp-csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,4,2,0.3919,1,75.04,82.43,2,3,1.00E+35,147,25,122,30,1
qcomp-csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,5,2,0.3919,1,73.94,81.24,2,3,1.00E+35,147,25,122,30,1
qcomp-csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,6,2,0.3919,1,74.86,82.38,2,3,1.00E+35,147,25,122,30,1
qcomp-csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,7,2,0.3919,1,73.06,80.32,2,3,1.00E+35,147,25,122,30,1
qcomp-csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,8,2,0.3919,1,75.58,83.05,2,3,1.00E+35,147,25,122,30,1
qcomp-firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,1,1,-70.5254,0.9237,21.11,121.72,1,1,1.00E+12,3667,196,3471,1107,7
qcomp-firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,2,2,-70.3507,0.9514,149.44,1200.05,2,3,1.00E+36,16508,3720,12788,2227,3
qcomp-firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,3,3,-70.1466,0.9838,706.21,1200.07,3,6,1.00E+83,7827,2158,5669,752,2
qcomp-firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,4,4,-70.2747,0.9635,522.41,1200.27,4,11,1.00E+177,2888,617,2271,435,0
qcomp-firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,5,5,-70.0988,0.9914,558.25,1200.44,5,14,1e365,1993,375,1618,373,0
qcomp-firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,6,5,-70.0988,0.9914,478.22,516.98,5,14,1e365,246,68,178,33,0
qcomp-firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,7,5,-70.0988,0.9914,421.55,445.71,5,14,1e365,205,61,144,25,0
qcomp-firewire-3,10,4094,99.98,14,57316,-70.0449,-76.3381,,8,5,-70.0988,0.9914,385.36,392.93,5,14,1e365,150,47,103,23,0
qcomp-ij-10,10,1024,99.90,11,11264,0.6554,0.65,,1,1,0.6503,0.0599,0.48,19.92,1,1,1210,2801,0,2801,937,1
qcomp-ij-10,10,1024,99.90,11,11264,0.6554,0.65,,2,2,0.6508,0.1408,113.94,1200.05,2,3,1.00E+07,87788,594,87194,29145,2
qcomp-ij-10,10,1024,99.90,11,11264,0.6554,0.65,,3,3,0.6509,0.1648,287.93,1200.13,3,6,1.00E+15,30788,1312,29476,9126,1
qcomp-ij-10,10,1024,99.90,11,11264,0.6554,0.65,,4,4,0.6512,0.2267,322.52,1200.23,4,10,1.00E+31,12520,618,11902,3599,1
qcomp-ij-10,10,1024,99.90,11,11264,0.6554,0.65,,5,5,0.6512,0.2267,261.5,1200.55,4,10,1.00E+64,4724,813,3911,832,0
qcomp-ij-10,10,1024,99.90,11,11264,0.6554,0.65,,6,6,0.6512,0.2267,221.46,1200.66,4,10,1.00E+129,1861,273,1588,420,0
qcomp-ij-10,10,1024,99.90,11,11264,0.6554,0.65,,7,7,0.6519,0.351,466.81,1201.2,6,32,1.00E+260,801,57,744,249,1
qcomp-ij-10,10,1024,99.90,11,11264,0.6554,0.65,,8,8,0.6519,0.351,413.27,1201.94,6,32,1e521,603,53,550,188,0
qcomp-philosophers-4,4,3193,99.97,53,169229,0.9606,0.8803,,1,1,0.8987,0.2285,34.54,481.87,1,1,1.00E+07,13131,358,12773,4158,7
